"paper_id","rel_path","type_gt","group_gt","data_granularity_gt","data_format_gt","validated_at","annotator"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Coding Instructions Step 1 [English].pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:36","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Coding Instructions Step 1 [German].pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:36","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Coding Instructions Step 2 [English].pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:37","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Coding Instructions Step 2 [German].pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:37","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Coding Instructions Supplementary Analyses [German].pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:39","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Detailed breakdown of the sample size.png","supplemental","shared",NA,NA,"2026-04-08T13:44:48","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/soep_questionnaire_2014.pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:50","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/soep_questionnaire_2015.pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:50","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Supplement happiness.pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:51","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Timeline.pdf","supplemental","shared",NA,NA,"2026-04-08T13:44:54","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/00_read me.txt","readme","shared",NA,NA,"2026-04-08T13:44:56","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/01_find_active_texts.R","code","shared",NA,NA,"2026-04-08T13:45:13","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/02_merge_social_rating.R","code","shared",NA,NA,"2026-04-08T13:45:13","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/03_analyses.R","code","shared",NA,NA,"2026-04-08T13:45:17","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/04_plots.R","code","shared",NA,NA,"2026-04-08T13:45:17","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/05_Breakdown N and Sensitivity Analyses.do","code","shared",NA,NA,"2026-04-08T13:45:19","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/05_log of Breakdown N and Sensitivity Analyses.pdf","output","shared",NA,NA,"2026-04-08T13:45:21","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/05_log of Breakdown N and Sensitivity Analyses.smcl","output","shared",NA,NA,"2026-04-08T13:45:48","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/06_log Robustness to unobserved confounding.pdf","output","shared",NA,NA,"2026-04-08T13:45:49","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/06_log Robustness to unobserved confounding.smcl","output","shared",NA,NA,"2026-04-08T13:45:50","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/06_Robustness to unobserved confounding.do","code","shared",NA,NA,"2026-04-08T13:45:51","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/07_Data export for MPlus.R","code","shared",NA,NA,"2026-04-08T13:45:53","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/07_Mediation_analysis_categorical_output.pdf","output","shared",NA,NA,"2026-04-08T13:45:54","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/07_mediation_categorial.dgm","code","shared",NA,NA,"2026-04-08T13:46:50","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/07_mediation_categorial.inp","code","shared",NA,NA,"2026-04-08T13:46:53","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/07_mediation_categorial.out","output","shared",NA,NA,"2026-04-08T13:46:54","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/08_Mediation_analysis_continuous_output.pdf","output","shared",NA,NA,"2026-04-08T13:46:54","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/08_mediation_continuous.dgm","code","shared",NA,NA,"2026-04-08T13:46:55","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/08_mediation_continuous.inp","code","shared",NA,NA,"2026-04-08T13:46:56","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/08_mediation_continuous.out","output","shared",NA,NA,"2026-04-08T13:46:56","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/09_Additional analyses of alternative outcomes.do","code","shared",NA,NA,"2026-04-08T13:47:01","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/09_Additional analyses of alternative outcomes.R","code","shared",NA,NA,"2026-04-08T13:47:01","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/09_log_additional_outcomes.pdf","output","shared",NA,NA,"2026-04-08T13:47:02","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/09_log_additional_outcomes.smcl","output","shared",NA,NA,"2026-04-08T13:47:02","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/10_Additional analyses of other characteristics.R","code","shared",NA,NA,"2026-04-08T13:47:04","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/final_data.csv","data","shared","combined","tabular","2026-04-08T13:47:07","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/final_explore.csv","data","shared","combined","tabular","2026-04-08T13:47:31","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/texts_de-identified.tsv","data","shared","combined","tabular","2026-04-08T13:47:32","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_1_J.csv","data","shared","individual","tabular","2026-04-08T13:47:32","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_1_M.csv","data","shared","individual","tabular","2026-04-08T13:47:33","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_1_S.csv","data","shared","individual","tabular","2026-04-08T13:47:34","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_2_J.tsv","data","shared","individual","tabular","2026-04-08T13:47:34","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_2_M.tsv","data","shared","individual","tabular","2026-04-08T13:47:36","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_2_S.tsv","data","shared","individual","tabular","2026-04-08T13:47:36","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_3_J_Tabelle1.csv","data","shared","individual","tabular","2026-04-08T13:47:36","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_3_M_Tabelle1.csv","data","shared","individual","tabular","2026-04-08T13:47:37","Levi Baruch"
"0956797618761660","Predicting_changes_in_life_satisfaction/Additional_Material/Data_and_scripts/coding_3_S_Tabelle1.csv","data","shared","individual","tabular","2026-04-08T13:47:37","Levi Baruch"
