"paper_id","rel_path","type_gt","group_gt","data_granularity_gt","validated_at","annotator","data_format_gt"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_PsyArxiv_SI_final.docx","supplemental","shared",NA,"2026-03-30T15:41:44","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 1A Raw readme.rtf","readme","ex1a",NA,"2026-03-30T15:42:57","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 1A Summary Readme.rtf","readme","ex1a",NA,"2026-03-30T15:43:03","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 1B Raw readme.rtf","readme","ex1b",NA,"2026-03-30T15:43:07","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 1B Summary Readme.rtf","readme","ex1b",NA,"2026-03-30T15:43:09","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 2 Raw readme.rtf","readme","ex2",NA,"2026-03-30T15:43:10","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 2 Summary Readme.rtf","readme","ex2",NA,"2026-03-30T15:43:38","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 3 Raw readme.rtf","readme","ex3",NA,"2026-03-30T15:43:42","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Readmes/Readmes/Exp 3 Summary Readme.rtf","readme","ex3",NA,"2026-03-30T15:43:44","Levi Baruch",NA
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_00.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_01.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_02.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_03.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_04.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_05.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_06.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data_07.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data2_08.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
"09567976211055375","5v7sg/Working_memory_content_is_distorted/Fukuda_etal_Data/Fukuda_etal_Data/Exp1A/raw_data/inter_shape_data2_09.mat","data","ex1a","individual","2026-03-30T15:44:42","Levi Baruch","raw"
