"paper_id","codebook_variable","label","codebook_source","group","parse_method","match_status"
"0956797615620784","ID","Participant identification number","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","Condition","Which condition the participant was in: 1=helmet, 2=cap","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","Age","Age in years","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","Sex","Gender of the participant: 1=male, 2=female","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","STAI pre","State Trait Anxiety Inventory Y state anxiety total before wearing the eye-tracker","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","SSS total","Sensation Seeking Scale score","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","BART","Balloon Analogue Risk Task adjusted mean (mean number of pumps on trials where the balloon did not burst)","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","STAI during","State Trait Anxiety Inventory Y state anxiety total whilst wearing the eye-tracker","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","STAI post","State Trait Anxiety Inventory Y state anxiety total after wearing the eye-tracker","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","Cycling frequency","How often does the participant cycle: 1=Never, 2=Rarely, 3=At least once a month, 4=At least once a week, 5=At least two to four times a week, 6=Five times a week or more","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
"0956797615620784","Helmet use likelihood","How often does the participant wear a cycle helmet: 0=don 92t cycle, 1=never - 7=always","GambleWalkerPsychologicalScienceKey.rtf",NA,"llm","matched"
