"paper_id","source_file","column_name","group","label","codebook_variable","label_source","label_status","label_method"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","ID","shared","Participant identification number","ID","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","Condition","shared","Which condition the participant was in: 1=helmet, 2=cap","Condition","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","Age","shared","Age in years","Age","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","Sex","shared","Gender of the participant: 1=male, 2=female","Sex","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","STAI_S_Y_PRE","shared","State Trait Anxiety Inventory Y state anxiety total before wearing the eye-tracker","STAI pre","GambleWalkerPsychologicalScienceKey.rtf","llm","llm"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","SSS_total","shared","Sensation Seeking Scale score","SSS total","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","BART","shared","Balloon Analogue Risk Task adjusted mean (mean number of pumps on trials where the balloon did not burst)","BART","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","STAI_S_Y_DURING","shared","State Trait Anxiety Inventory Y state anxiety total whilst wearing the eye-tracker","STAI during","GambleWalkerPsychologicalScienceKey.rtf","llm","llm"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","STAI_S_Y_POST","shared","State Trait Anxiety Inventory Y state anxiety total after wearing the eye-tracker","STAI post","GambleWalkerPsychologicalScienceKey.rtf","llm","llm"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","Cycling_Frequency","shared","How often does the participant cycle: 1=Never, 2=Rarely, 3=At least once a month, 4=At least once a week, 5=At least two to four times a week, 6=Five times a week or more","Cycling frequency","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
"0956797615620784","Wearing_a_Bicycle_Helmet_Can/GambleWalkerPsychologicalScienceData.csv","Helmet_Use_Likelihood","shared","How often does the participant wear a cycle helmet: 0=don 92t cycle, 1=never - 7=always","Helmet use likelihood","GambleWalkerPsychologicalScienceKey.rtf","labelled","rules"
